,age,race,earnwke,employed,unemployed,married,union,ne_states,so_states,ce_states,we_states,government,private,self,educ_lths,educ_hs,educ_somecol,educ_aa,educ_bac,educ_adv,female
75,46,1,,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
76,47,1,,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
77,31,1,425,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
78,61,1,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
79,60,1,"658,1",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
80,38,2,1600,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
81,57,1,441,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
82,58,1,"1634,61",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
83,51,1,"1615,38",1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
84,52,1,423,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
85,37,1,2000,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
87,58,1,"1045,2",1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
88,35,1,800,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
89,28,1,600,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
90,24,1,"686,27",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
91,47,1,"288,46",1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
92,51,1,576,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
93,43,1,140,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
95,31,1,2100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
96,55,1,"961,53",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
97,47,1,1500,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
98,49,1,700,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
99,42,1,2160,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
100,21,1,"206,8",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
101,61,1,"236,8",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
102,56,1,"1903,84",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
103,62,2,1475,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
104,24,2,400,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
106,53,2,"480,76",1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
107,33,1,"1307,2",1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
108,27,1,"480,76",1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
109,27,1,"826,92",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
110,46,1,1250,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
111,37,1,576,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
112,62,1,,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
113,60,1,,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
114,42,1,1000,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
116,56,1,337,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
117,37,3,1346,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
118,39,1,"1538,46",1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
119,42,1,,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
120,48,1,"212,5",1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
121,54,2,,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
122,18,2,"230,76",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
123,26,1,300,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
124,54,1,2240,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
125,23,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
126,43,1,"423,07",1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
127,41,1,"279,65",1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
128,62,1,"1980,76",1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
130,26,1,1250,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
131,27,1,"603,6",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
132,42,1,2403,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
133,44,1,1307,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
134,35,1,1346,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
135,36,1,461,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
136,34,1,1000,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
137,42,2,250,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
138,36,1,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
139,40,1,,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
140,49,1,"2788,46",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
141,34,3,280,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
142,31,2,"676,8",1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
143,57,1,"653,84",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
144,39,1,920,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
145,37,1,360,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
146,50,2,"1753,84",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
147,36,2,"287,5",1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
148,33,1,1664,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
149,23,1,550,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
150,48,1,668,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
151,40,2,"1153,84",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
152,40,1,2403,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
153,42,1,153,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
154,45,1,769,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
155,51,1,,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
156,46,1,"1326,92",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
157,45,1,"1153,84",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
158,45,1,,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
159,45,1,182,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
160,36,1,350,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
161,40,1,"694,4",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
162,58,1,"923,07",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
163,48,1,"980,76",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
164,40,1,"1673,07",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
165,51,1,2538,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
166,47,1,360,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
167,22,2,"384,61",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
168,49,2,"961,53",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
169,29,1,480,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
170,25,1,390,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
171,51,1,680,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
172,51,1,992,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
173,47,1,"557,69",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
174,31,1,"923,07",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
175,38,1,,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
176,30,1,"307,69",1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
177,30,1,700,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
178,37,1,1250,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
179,36,1,807,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
180,43,1,"576,92",1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
181,53,1,"200,4",1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
182,30,1,760,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
183,34,1,452,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
184,56,1,"461,53",1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
185,46,1,860,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
186,58,1,"416,4",1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
187,25,1,673,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
188,40,1,1480,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
189,38,1,360,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
190,42,1,"480,76",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
191,40,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
192,31,1,"2115,38",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
193,27,1,800,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
194,46,1,1400,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
195,42,1,250,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
196,37,1,1514,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
197,38,1,"1038,46",1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
198,57,2,440,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
199,36,1,1100,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
200,31,1,"923,07",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
201,43,3,1380,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
202,32,3,"1923,07",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
203,50,1,"2153,84",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
204,48,1,"538,46",1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
205,28,1,240,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
206,48,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
207,39,1,440,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
208,40,1,"480,8",0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
209,35,1,,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
210,41,1,"184,61",1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
211,26,1,"1346,15",1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
212,27,1,"513,05",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
213,50,1,"807,69",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
214,42,1,1012,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
215,30,1,"936,15",1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
216,27,1,640,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
217,35,1,"2403,84",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
218,55,1,2578,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
219,37,1,398,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
220,47,1,"761,53",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
221,42,1,800,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
222,35,3,640,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
223,51,1,"1538,46",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
224,31,1,920,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
225,31,1,606,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
226,48,1,693,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
227,50,1,"715,38",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
228,35,1,895,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
229,46,1,776,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
230,46,1,384,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
231,35,1,"2884,61",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
232,36,1,310,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
233,54,3,1050,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
234,35,1,"0,03",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
235,54,1,884,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
236,25,1,400,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
237,40,1,,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
238,56,1,,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
239,56,1,,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
240,39,1,,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
242,24,1,510,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
243,43,1,"1086,4",1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
244,42,1,"268,4",1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
245,21,1,400,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
246,54,1,,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
247,40,1,1000,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
248,35,1,500,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
249,22,1,340,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
250,47,1,423,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
251,55,1,"1173,07",1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
252,52,1,1000,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
253,40,1,"942,3",1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
255,62,1,"673,07",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
256,28,1,240,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
257,34,1,"1538,46",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
258,39,1,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
259,39,1,400,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
260,43,1,"1115,38",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
261,41,1,"2884,61",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
262,62,1,740,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
263,47,1,700,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
264,47,1,400,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
265,26,1,600,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
266,35,1,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
267,52,1,1634,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
268,32,3,420,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
269,29,3,135,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
270,61,1,"1134,61",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
271,49,1,"2884,61",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
272,59,1,"769,23",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
273,37,1,1200,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
274,52,1,600,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
275,56,1,"1980,76",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
276,30,1,900,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
277,30,1,1075,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
278,52,2,"846,15",1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
279,22,1,210,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
280,26,3,720,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
281,53,3,700,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
282,40,3,700,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
283,56,1,960,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
284,30,3,1538,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
285,32,1,375,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
286,44,3,1153,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
287,47,1,"1346,15",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
288,39,1,800,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
289,51,2,"467,2",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
290,45,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
291,35,1,1450,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
292,53,1,"646,56",1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
293,46,1,1730,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
294,35,1,600,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
295,43,1,769,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
296,30,1,800,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
297,51,1,"1384,61",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
298,50,1,"673,07",1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
299,37,1,"1346,15",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
300,35,1,165,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
301,26,1,"1292,3",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
302,44,1,1263,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
303,52,1,720,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
304,40,3,1000,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
305,53,1,900,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
306,53,1,"538,46",1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
307,32,1,227,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
308,29,1,"701,92",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
309,49,3,"1938,52",1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
310,45,1,1653,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
311,60,1,"1923,07",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
312,31,1,"961,53",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
313,44,1,400,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
314,52,1,1000,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
